"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","county_clean","year","emissions_mtco2e"
1001073,"110071162468","R. J. REYNOLDS TOBACCO CO. WHITAKER PARK","WINSTON SALEM","NC","27105","4040 REYNOLDS COURT","FORSYTH COUNTY",36.134274,-80.257781,312230,"C","Other","FORSYTH",2021,39287.252
1001073,"110071162468","R. J. REYNOLDS TOBACCO CO. WHITAKER PARK","WINSTON SALEM","NC","27105","4040 REYNOLDS COURT","FORSYTH COUNTY",36.134274,-80.257781,312230,"C","Other","FORSYTH",2022,33228.674
1001073,"110071162468","R. J. REYNOLDS TOBACCO CO. WHITAKER PARK","WINSTON SALEM","NC","27105","4040 REYNOLDS COURT","FORSYTH COUNTY",36.134274,-80.257781,312230,"C","Other","FORSYTH",2023,28594.192
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants","LINCOLN",2019,23284.654
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants","LINCOLN",2020,34665.348
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants","LINCOLN",2021,224976.31
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants","LINCOLN",2022,123554.554
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants","LINCOLN",2023,19532.298
1001150,"110004060417","Richmond County Combustion Turbine Plant","HAMLET","NC","28345","198 ENERGY WAY","Richmond",34.8422,-79.7444,221112,"C,D","Power Plants","RICHMOND",2019,3925947.112
1001150,"110004060417","Richmond County Combustion Turbine Plant","HAMLET","NC","28345","198 ENERGY WAY","Richmond",34.8422,-79.7444,221112,"C,D","Power Plants","RICHMOND",2020,3528561.59
1001150,"110004060417","Richmond County Combustion Turbine Plant","HAMLET","NC","28345","198 ENERGY WAY","Richmond",34.8422,-79.7444,221112,"C,D","Power Plants","RICHMOND",2021,3434173.12
1001150,"110004060417","Richmond County Combustion Turbine Plant","HAMLET","NC","28345","198 ENERGY WAY","Richmond",34.8422,-79.7444,221112,"C,D","Power Plants","RICHMOND",2022,4154721.698
1001150,"110004060417","Richmond County Combustion Turbine Plant","HAMLET","NC","28345","198 ENERGY WAY","Richmond",34.8422,-79.7444,221112,"C,D","Power Plants","RICHMOND",2023,3485840.006
1001153,"110020516486","Plant Rowan County","SALISBURY","NC","28147","5755 NC HWY 801","Rowan",35.7325,-80.6019,221112,"C,D","Power Plants","ROWAN",2019,1860196.944
1001153,"110020516486","Plant Rowan County","SALISBURY","NC","28147","5755 NC HWY 801","Rowan",35.7325,-80.6019,221112,"C,D","Power Plants","ROWAN",2020,1710355.806
1001153,"110020516486","Plant Rowan County","SALISBURY","NC","28147","5755 NC HWY 801","Rowan",35.7325,-80.6019,221112,"C,D","Power Plants","ROWAN",2021,1753925.692
1001153,"110020516486","Plant Rowan County","SALISBURY","NC","28147","5755 NC HWY 801","Rowan",35.7325,-80.6019,221112,"C,D","Power Plants","ROWAN",2022,1831920.562
1001153,"110020516486","Plant Rowan County","SALISBURY","NC","28147","5755 NC HWY 801","Rowan",35.7325,-80.6019,221112,"C,D","Power Plants","ROWAN",2023,1676212.584
1001187,"110000604141","Belews Creek","BELEWS CREEK","NC","27052","3195 PINE HALL ROAD","Stokes",36.2811,-80.0603,221112,"C,D","Power Plants","STOKES",2019,6302103.262
1001187,"110000604141","Belews Creek","BELEWS CREEK","NC","27052","3195 PINE HALL ROAD","Stokes",36.2811,-80.0603,221112,"C,D","Power Plants","STOKES",2020,4441528.054
1001187,"110000604141","Belews Creek","BELEWS CREEK","NC","27052","3195 PINE HALL ROAD","Stokes",36.2811,-80.0603,221112,"C,D","Power Plants","STOKES",2021,6959270.394
1001187,"110000604141","Belews Creek","BELEWS CREEK","NC","27052","3195 PINE HALL ROAD","Stokes",36.2811,-80.0603,221112,"C,D","Power Plants","STOKES",2022,5922637.112
1001187,"110000604141","Belews Creek","BELEWS CREEK","NC","27052","3195 PINE HALL ROAD","Stokes",36.2811,-80.0603,221112,"C,D","Power Plants","STOKES",2023,5584207.896
