"Facility Id","FRS Id","Facility Name","City","State","Zip Code","Address","County","Latitude","Longitude","Primary NAICS Code","Latest Reported Industry Type (subparts)","Latest Reported Industry Type (sectors)","2023 Total reported direct emissions","2022 Total reported direct emissions","2021 Total reported direct emissions","2020 Total reported direct emissions","2019 Total reported direct emissions","2018 Total reported direct emissions","2017 Total reported direct emissions","2016 Total reported direct emissions","2015 Total reported direct emissions","2014 Total reported direct emissions","2013 Total reported direct emissions","2012 Total reported direct emissions","2011 Total reported direct emissions"
1002262,"110000349070","ELECTRIC GLASS FIBER AMERICA, LLC","SHELBY","NC","28150","940 WASHBURN SWITCH RD.","CLEVELAND COUNTY",35.33104,-81.62436,327212,"C,N","Minerals",72506.962,85261.564,98337.684,64929.996,89744.928,93631.904,91400.568,92316.072,94238.412,98268.448,87319.28,110725.712,98030.232
1005640,"110000350272","ELEMENTIS CHROMIUM","CASTLE HAYNE","NC","28429","5408 HOLLY SHELTER ROAD","NEW HANOVER COUNTY",34.372516,-77.859466,325180,"C,U","Chemicals",120282.924,149925.54,152469.036,134720.848,138950.38,146041.86,146513.202,138584.084,145040.498,145127.268,151633.65,149576.774,164366.55
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals",36504.464,34254.372,31997.98,32432.928,32314.58,31657.732,28034.544,27944.996,32730.476,43923.436,55933.996,56524.766,55521.814
1000231,"110022568531","Edgecombe Genco, LLC","BATTLEBORO","NC","27809","6358 OLD BATTLEBORO RD 27809","Edgecombe",36.0378,-77.7542,221112,"D","Power Plants",NA,NA,NA,NA,NA,160696.72,151055.098,182950.612,281415.454,324726.174,328639.342,380816.512,698341.034
1002322,"110000346082","Electric Glass Fiber America, LLC","LEXINGTON","NC","27292","473 NEW JERSEY CHURCH ROAD","DAVIDSON COUNTY",35.75525,-80.28116,327212,"C,N","Minerals",32838.9,46940.9,38721.874,15469.7,36867.434,38799.724,45863.692,52468.424,58404.744,47003.532,46453.088,45699.29,43225.9
1001211,"110000349882","Elizabethtown Power","ELIZABETHTOWN","NC","28337","3100 WEST BROAD ST","Bladen",34.6474,-78.6407,221112,"D","Power Plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1004405,"110014016607","FELTONSVILLE LANDFILL","APEX","NC","27502","6000 OLD SMITHFIELD ROAD","WAKE",35.6811,-78.8499,562212,"HH","Waste",NA,NA,NA,NA,NA,NA,NA,NA,779.5,762.5,1307.5,2750,47960
1005424,"110000349383","FRITO-LAY, INCORPORATED","CHARLOTTE","NC","28273","2911 NEVADA BV","MECKLENBURG COUNTY",35.11746,-80.94108,311919,"C","Other",26630.7,27414.196,27150.048,25203.656,NA,NA,NA,22730.164,24463.608,23152.312,20626.7,24535.466,34004.976
1007044,"110034168512","Foothills Environmental","Lenoir","NC","28645","2800 Cheraw Road","CALDWELL COUNTY",35.914488,-81.593527,562212,"HH","Waste",46222.75,54764.5,58735.75,69829.5,55736,70490.5,77798.25,115184.5,77548.75,84658.5,83055,90767.5,119160
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants",141042.74,300842.644,200401.368,535362.742,968124.032,875330.648,1035444.338,1499279.77,1645832.622,2312887.672,1890358.136,1895451.36,3966059.89
