"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","emissions_2023","emissions_2022","emissions_2021","emissions_2020","emissions_2019","county_clean"
1008063,"110030816605","NGK Ceramics USA, Inc.","Mooresville","NC","28115","119 Mazeppa Road","IREDELL COUNTY",35.614,-80.81605,336390,"C","Other",20167.424,25106.356,27377.096,22711.564,34683.02,"IREDELL"
1005786,"110007378514","NORTH WAKE COUNTY LANDFILL","RALEIGH","NC","27615","9004 DEPONIE DRIVE","WAKE",35.905133,-78.582116,562212,"HH","Waste",NA,NA,NA,NA,NA,"WAKE"
1002958,"110024423131","NUCOR STEEL HERTFORD COUNTY","COFIELD","NC","27922","1505 RIVER RD","HERTFORD COUNTY",36.355216,-76.81115,331110,"C,Q","Metals",216464.492,199975.792,231434.212,251729.896,270940.712,"HERTFORD"
1001953,"110009853417","ONSLOW COUNTY LANDFILL","JACKSONVILLE","NC","28540","415 MEADOWVIEW ROAD","ONSLOW COUNTY",34.79804,-77.53781,562212,"HH","Waste",91546.75,78971.25,70020.75,66180.75,77298.25,"ONSLOW"
1002911,"110071161726","OWENS-BROCKWAY GLASS CONTAINER INC. - PLANT 06","LEXINGTON","NC","27295","9698 OLD US HIGHWAY 52","DAVIDSON COUNTY",35.950001,-80.209999,327213,"C,N","Minerals",67571.264,64984.276,65967.128,62548.384,67873.372,"DAVIDSON"
1005524,"110043815529","Orange County Regional Landfill","Chapel Hill","NC","27516","1514 Eubanks Road","ORANGE COUNTY",35.9711,-79.0819,562212,"HH","Waste",43197.5,23919.5,18419.75,23940.5,14597.75,"ORANGE"
1014715,NA,"Oxford MSW Landfill","Oxford","NC","27565","6595 Landfill Road",NA,36.370332205509,-78.623376758911,562212,"HH","Waste",20195.5,18977,NA,NA,NA,NA
1006242,"110000586376","PCS PHOSPHATE COMPANY INCORPORATED","AURORA","NC","27806","1530 NC HIGHWAY 306 South","BEAUFORT COUNTY",35.37745,-76.778816,325312,"C,Z","Chemicals",321374.222,295365.152,327369.722,307962.748,274064.594,"BEAUFORT"
1002737,"110004027320","PERDUE FARMS INC","LEWISTON","NC","27849","3539 GOVERNORS RD","BERTIE COUNTY",36.140066,-77.224466,311615,"C,II","Other,Waste",9986.218,177850.766,155561.768,129421.368,150173.064,"BERTIE"
1006571,"110000346974","PERFORMANCE FIBERS, INCORPORATED","NEW HILL","NC","27562","338 PEA RIDGE ROAD","CHATHAM COUNTY",35.62011,-79.04495,325222,"C","Other",NA,NA,NA,NA,NA,"CHATHAM"
